Ano;ID;TIPO DO CRIME;BAIRRO;HORA;LOCAL
2018;333;FURTO QUALIFICADO;CENTRO;11;COMERCIO
2018;334;FURTO QUALIFICADO;FANNY;12;PUBLICO
2018;335;FURTO QUALIFICADO;FANNY;12;TRANSPORTE
2018;336;FURTO QUALIFICADO;FANNY;12;VEICULO
2018;337;ROUBO;CENTRO;10;SAUDE
2018;338;ROUBO;SANTA QUITERIA;14;PUBLICO
2018;339;FURTO SIMPLES;NOVO MUNDO;16;OUTROS
2018;340;ROUBO;CENTRO;10;SAUDE
2018;341;LESAO CORPORAL;GUAIRA;19;PUBLICO
2018;342;LESAO CORPORAL;UBERABA;1;PUBLICO
2018;343;ROUBO;CENTRO;10;SAUDE
2018;344;ROUBO;SANTA QUITERIA;7;PUBLICO
2018;345;ROUBO;SANTA QUITERIA;7;TRANSPORTE
2018;346;FURTO SIMPLES;CENTRO;14;COMERCIO
2018;347;LESAO CORPORAL;NOVO MUNDO;10;RESIDENCIA
2018;348;ROUBO;CENTRO;19;COMERCIO
2018;349;FURTO QUALIFICADO;CENTRO;18;RESIDENCIA
2018;350;ROUBO;CENTRO;9;SAUDE
2018;351;ROUBO;BOQUEIRAO;21;PUBLICO
2018;352;FURTO SIMPLES;PAROLIN;9;COMERCIO
2018;353;ROUBO;CENTRO;12;SAUDE
2018;354;FURTO QUALIFICADO;CENTRO;4;COMERCIO
2018;355;ROUBO;HAUER;22;PUBLICO
2018;356;FURTO QUALIFICADO;SITIO CERCADO;21;RESIDENCIA
2018;357;FURTO QUALIFICADO;CENTRO;22;PUBLICO
2018;358;FURTO QUALIFICADO;GANCHINHO;13;RESIDENCIA
2018;359;FURTO SIMPLES;ALTO BOQUEIRAO;8;PUBLICO
2018;360;LESAO CORPORAL;ALTO BOQUEIRAO;12;PUBLICO
2018;361;ROUBO;ALTO BOQUEIRAO;10;PUBLICO
2018;362;ROUBO;CENTRO;8;SAUDE
2018;363;ROUBO;HAUER;17;SAUDE
2018;364;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CENTRO;10;PUBLICO
2018;365;FURTO QUALIFICADO;XAXIM;21;COMERCIO
2018;366;ROUBO;TATUQUARA;11;RESIDENCIA
2018;367;FURTO QUALIFICADO;PINHEIRINHO;10;TRANSPORTE
2018;368;ROUBO;UMBARA;10;RESIDENCIA
2018;369;FURTO SIMPLES;CENTRO;11;PUBLICO
2018;370;FURTO QUALIFICADO;BATEL;3;ALIMENTACAO / DIVERSAO
2018;371;FURTO QUALIFICADO;CAMPO DE SANTANA;12;RESIDENCIA
2018;372;ROUBO;CENTRO;18;SAUDE
2018;373;ROUBO;TATUQUARA;12;PUBLICO
2018;374;ROUBO;TATUQUARA;12;RESIDENCIA
2018;375;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;PRADO VELHO;11;PUBLICO
2018;376;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;PRADO VELHO;11;RESIDENCIA
2018;377;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;CAJURU;12;RESIDENCIA
2018;378;ROUBO;CIDADE INDUSTRIAL;12;PUBLICO
2018;379;ROUBO;CAPAO RASO;18;SAUDE
2018;380;ROUBO;PINHEIRINHO;13;PUBLICO
2018;381;ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS;PRADO VELHO;11;PUBLICO
2018;382;ROUBO;PINHEIRINHO;11;PUBLICO
2018;383;FURTO SIMPLES;CABRAL;13;TRANSPORTE
2018;384;ROUBO;PINHEIRINHO;8;MERCADO
2018;385;ROUBO;XAXIM;14;COMERCIO
